Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),Roll(rads),Pitch(rads),Yaw(rads)
04-May-2019 22:30:02.163, 0.1088,-0.8895,-0.4309,-0.0108,-0.0017, 0.0135, 0.2629, 1.0926,-1.1585
04-May-2019 22:30:02.166, 0.1088,-0.8895,-0.4309,-0.0113,-0.0016, 0.0132, 0.2640, 1.0928,-1.1585
04-May-2019 22:30:02.167, 0.1088,-0.8895,-0.4309,-0.0113,-0.0016, 0.0132, 0.2640, 1.0928,-1.1585
04-May-2019 22:30:02.168, 0.1088,-0.8895,-0.4309,-0.0113,-0.0016, 0.0132, 0.2640, 1.0928,-1.1585
04-May-2019 22:30:02.176, 0.1096,-0.9024,-0.4360,-0.0150,-0.0064, 0.0054, 0.2664, 1.0932,-1.1586
04-May-2019 22:30:02.196, 0.1164,-0.8952,-0.4349,-0.0109,-0.0113, 0.0064, 0.2710, 1.0942,-1.1586
04-May-2019 22:30:02.215, 0.1201,-0.8885,-0.4334,-0.0067,-0.0066, 0.0089, 0.2755, 1.0953,-1.1585
04-May-2019 22:30:02.235, 0.1253,-0.8877,-0.4345, 0.0015, 0.0025, 0.0064, 0.2802, 1.0964,-1.1589
04-May-2019 22:30:02.254, 0.1304,-0.8986,-0.4256, 0.0018, 0.0020, 0.0139, 0.2833, 1.0976,-1.1594
04-May-2019 22:30:02.274, 0.1291,-0.9151,-0.4274,-0.0021,-0.0191, 0.0073, 0.2879, 1.0991,-1.1599
04-May-2019 22:30:02.293, 0.1179,-0.8972,-0.4334, 0.0005,-0.0175,-0.0403, 0.2951, 1.1005,-1.1611
04-May-2019 22:30:02.312, 0.1298,-0.9006,-0.4327,-0.0104,-0.0075, 0.0092, 0.3024, 1.1021,-1.1625
04-May-2019 22:30:02.332, 0.1280,-0.9018,-0.4364,-0.0086,-0.0096,-0.0115, 0.3102, 1.1040,-1.1634
04-May-2019 22:30:02.352, 0.1391,-0.9098,-0.4164,-0.0081,-0.0092,-0.0002, 0.3192, 1.1065,-1.1650
04-May-2019 22:30:02.371, 0.1514,-0.8920,-0.4261, 0.0069,-0.0098,-0.0023, 0.3288, 1.1087,-1.1666
04-May-2019 22:30:02.391, 0.1504,-0.8994,-0.4235, 0.0065, 0.0123, 0.0074, 0.3378, 1.1113,-1.1678
04-May-2019 22:30:02.410, 0.1434,-0.9047,-0.4208,-0.0027,-0.0010,-0.0092, 0.3469, 1.1144,-1.1687
04-May-2019 22:30:02.430, 0.1502,-0.8940,-0.3960,-0.0025, 0.0048, 0.0148, 0.3558, 1.1171,-1.1699
