Timestamp,Roll(rads),Pitch(rads),Yaw(rads)
04-May-2019 21:02:06.607,-0.2523, 1.5040, 0.0449
04-May-2019 21:02:06.705,-0.3558, 1.5029, 0.1336
04-May-2019 21:02:06.803,-0.2935, 1.5040, 0.0775
04-May-2019 21:02:06.900,-0.2141, 1.5058,-0.0128
04-May-2019 21:02:06.999,-0.1526, 1.5080,-0.0698
04-May-2019 21:02:07.095,-0.2183, 1.5131,-0.0222
04-May-2019 21:02:07.193,-0.1924, 1.5083,-0.0632
04-May-2019 21:02:07.291,-0.0904, 1.5125,-0.1748
04-May-2019 21:02:07.388, 0.0280, 1.5137,-0.2976
04-May-2019 21:02:07.486, 0.0950, 1.5102,-0.3621
04-May-2019 21:02:07.582, 0.0987, 1.5087,-0.3696
04-May-2019 21:02:07.680, 0.0362, 1.4987,-0.3081
04-May-2019 21:02:07.778, 0.0280, 1.4911,-0.3035
04-May-2019 21:02:07.875, 0.0325, 1.4924,-0.3122
04-May-2019 21:02:07.973, 0.0524, 1.4954,-0.3315
04-May-2019 21:02:08.070, 0.0768, 1.4958,-0.3570
04-May-2019 21:02:08.166, 0.1080, 1.4963,-0.3897
04-May-2019 21:02:08.264, 0.1232, 1.4955,-0.4088
04-May-2019 21:02:08.362, 0.1379, 1.4924,-0.4257
04-May-2019 21:02:08.460, 0.1391, 1.4805,-0.4246
04-May-2019 21:02:08.557, 0.0894, 1.4605,-0.3811
04-May-2019 21:02:08.655, 0.0530, 1.4388,-0.3584
04-May-2019 21:02:08.752, 0.0512, 1.3997,-0.3495
04-May-2019 21:02:08.849, 0.0217, 1.3495,-0.3255
04-May-2019 21:02:08.947,-0.0177, 1.3058,-0.3020
04-May-2019 21:02:09.044,-0.0152, 1.2635,-0.3028
04-May-2019 21:02:09.141,-0.0165, 1.2167,-0.2966
04-May-2019 21:02:09.238,-0.0024, 1.1573,-0.3122
04-May-2019 21:02:09.336, 0.0065, 1.0984,-0.3170
04-May-2019 21:02:09.434, 0.0117, 1.0422,-0.3177
04-May-2019 21:02:09.532, 0.0219, 0.9887,-0.3184
04-May-2019 21:02:09.628, 0.0368, 0.9431,-0.3205
04-May-2019 21:02:09.726, 0.0446, 0.8893,-0.3238
04-May-2019 21:02:09.824, 0.0427, 0.8302,-0.3247
04-May-2019 21:02:09.921, 0.0386, 0.7598,-0.3220
04-May-2019 21:02:10.018, 0.0354, 0.6961,-0.3219
04-May-2019 21:02:10.116, 0.0430, 0.6430,-0.3253
04-May-2019 21:02:10.214, 0.0546, 0.5894,-0.3270
04-May-2019 21:02:10.311, 0.0561, 0.5438,-0.3282
04-May-2019 21:02:10.409, 0.0477, 0.4954,-0.3282
04-May-2019 21:02:10.505, 0.0455, 0.4469,-0.3269
04-May-2019 21:02:10.602, 0.0550, 0.3971,-0.3236
04-May-2019 21:02:10.700, 0.0634, 0.3440,-0.3211
04-May-2019 21:02:10.798, 0.0660, 0.3104,-0.3204
04-May-2019 21:02:10.895, 0.0604, 0.2770,-0.3194
04-May-2019 21:02:10.993, 0.0527, 0.2391,-0.3184
04-May-2019 21:02:11.089, 0.0647, 0.2005,-0.3153
04-May-2019 21:02:11.186, 0.0588, 0.1738,-0.3159
04-May-2019 21:02:11.284, 0.0535, 0.1502,-0.3167
04-May-2019 21:02:11.381, 0.0549, 0.1352,-0.3159
04-May-2019 21:02:11.478, 0.0566, 0.1222,-0.3190
04-May-2019 21:02:11.577, 0.0559, 0.1170,-0.3177
04-May-2019 21:02:11.673, 0.0566, 0.1240,-0.3175
04-May-2019 21:02:11.771, 0.0558, 0.1346,-0.3193
04-May-2019 21:02:11.869, 0.0513, 0.1499,-0.3224
04-May-2019 21:02:11.967, 0.0519, 0.1706,-0.3220
04-May-2019 21:02:12.063, 0.0360, 0.2221,-0.3238
04-May-2019 21:02:12.161, 0.0037, 0.2884,-0.3228
04-May-2019 21:02:12.258,-0.0041, 0.3392,-0.3218
04-May-2019 21:02:12.356,-0.0107, 0.3855,-0.3195
04-May-2019 21:02:12.454,-0.0075, 0.4409,-0.3151
04-May-2019 21:02:12.551,-0.0117, 0.5011,-0.3144
04-May-2019 21:02:12.649,-0.0168, 0.5716,-0.3148
04-May-2019 21:02:12.746,-0.0170, 0.6487,-0.3097
04-May-2019 21:02:12.844,-0.0128, 0.7336,-0.3121
04-May-2019 21:02:12.940, 0.0004, 0.8066,-0.3228
04-May-2019 21:02:13.039, 0.0091, 0.8881,-0.3369
04-May-2019 21:02:13.136, 0.0098, 0.9722,-0.3418
04-May-2019 21:02:13.232,-0.0007, 1.0370,-0.3296
04-May-2019 21:02:13.332, 0.0123, 1.0681,-0.3251
04-May-2019 21:02:13.428, 0.0404, 1.1389,-0.3572
04-May-2019 21:02:13.524, 0.0647, 1.2264,-0.3896
04-May-2019 21:02:13.622, 0.0824, 1.2864,-0.4124
04-May-2019 21:02:13.720, 0.1110, 1.3539,-0.4442
04-May-2019 21:02:13.817, 0.1898, 1.4088,-0.5236
04-May-2019 21:02:13.915, 0.3421, 1.4602,-0.6749
04-May-2019 21:02:14.013, 0.4607, 1.4717,-0.7875
04-May-2019 21:02:14.109, 0.4492, 1.4754,-0.7761
04-May-2019 21:02:14.206, 0.4440, 1.4785,-0.7688
04-May-2019 21:02:14.304, 0.3928, 1.4814,-0.7168
04-May-2019 21:02:14.402, 0.3111, 1.4833,-0.6408
04-May-2019 21:02:14.499, 0.1759, 1.4844,-0.5077
04-May-2019 21:02:14.597,-0.0008, 1.4845,-0.3298
04-May-2019 21:02:14.694,-0.3063, 1.4844,-0.0229
04-May-2019 21:02:14.791,-0.5797, 1.4754, 0.2499
04-May-2019 21:02:14.889,-0.8371, 1.4541, 0.5087
04-May-2019 21:02:14.986,-1.0069, 1.4207, 0.6811
04-May-2019 21:02:15.084,-1.1515, 1.3802, 0.8349
04-May-2019 21:02:15.181,-1.3205, 1.3238, 1.0233
04-May-2019 21:02:15.278,-1.3807, 1.2624, 1.1018
04-May-2019 21:02:15.376,-1.4322, 1.1989, 1.1602
04-May-2019 21:02:15.473,-1.4484, 1.1379, 1.1936
04-May-2019 21:02:15.571,-1.4532, 1.0603, 1.2224
04-May-2019 21:02:15.668,-1.4711, 0.9848, 1.2423
04-May-2019 21:02:15.765,-1.4795, 0.9000, 1.2518
04-May-2019 21:02:15.863,-1.4767, 0.8232, 1.2662
04-May-2019 21:02:15.960,-1.4844, 0.7490, 1.2889
04-May-2019 21:02:16.057,-1.4886, 0.6720, 1.3079
04-May-2019 21:02:16.155,-1.4937, 0.5905, 1.3314
04-May-2019 21:02:16.252,-1.5174, 0.5152, 1.3673
04-May-2019 21:02:16.350,-1.5211, 0.4543, 1.3807
04-May-2019 21:02:16.447,-1.5229, 0.4090, 1.4004
04-May-2019 21:02:16.544,-1.5372, 0.3447, 1.4275
04-May-2019 21:02:16.642,-1.5432, 0.2827, 1.4377
04-May-2019 21:02:16.739,-1.5469, 0.2343, 1.4408
04-May-2019 21:02:16.837,-1.5604, 0.1994, 1.4425
04-May-2019 21:02:16.934,-1.5665, 0.1705, 1.4430
04-May-2019 21:02:17.033,-1.5678, 0.1436, 1.4426
04-May-2019 21:02:17.129,-1.5822, 0.1295, 1.4444
04-May-2019 21:02:17.226,-1.5882, 0.1126, 1.4341
04-May-2019 21:02:17.323,-1.5840, 0.1108, 1.4306
04-May-2019 21:02:17.421,-1.5743, 0.1059, 1.4281
04-May-2019 21:02:17.518,-1.5739, 0.0980, 1.4274
04-May-2019 21:02:17.616,-1.5733, 0.1068, 1.4173
04-May-2019 21:02:17.713,-1.5604, 0.1600, 1.3741
04-May-2019 21:02:17.811,-1.5312, 0.2311, 1.3734
04-May-2019 21:02:17.908,-1.5594, 0.2765, 1.4004
04-May-2019 21:02:18.005,-1.5833, 0.3349, 1.3987
04-May-2019 21:02:18.102,-1.6178, 0.4319, 1.3975
04-May-2019 21:02:18.200,-1.6442, 0.5136, 1.4102
04-May-2019 21:02:18.298,-1.6672, 0.6018, 1.4225
04-May-2019 21:02:18.394,-1.6826, 0.6960, 1.4205
04-May-2019 21:02:18.493,-1.6851, 0.7876, 1.4196
04-May-2019 21:02:18.590,-1.6797, 0.8699, 1.4241
04-May-2019 21:02:18.687,-1.6775, 0.9473, 1.4309
04-May-2019 21:02:18.784,-1.6904, 1.0237, 1.4445
04-May-2019 21:02:18.882,-1.7119, 1.1122, 1.4548
04-May-2019 21:02:18.979,-1.7390, 1.1977, 1.4769
04-May-2019 21:02:19.076,-1.7263, 1.2823, 1.4613
04-May-2019 21:02:19.173,-1.6353, 1.3483, 1.3734
04-May-2019 21:02:19.271,-1.5406, 1.4032, 1.2774
04-May-2019 21:02:19.368,-1.4973, 1.4382, 1.2275
04-May-2019 21:02:19.466,-1.4338, 1.4697, 1.1641
04-May-2019 21:02:19.563,-1.3347, 1.4817, 1.0584
04-May-2019 21:02:19.661,-1.2299, 1.4840, 0.9514
04-May-2019 21:02:19.758,-1.2100, 1.4886, 0.9288
04-May-2019 21:02:19.855,-1.1888, 1.4919, 0.9022
04-May-2019 21:02:19.953,-1.1886, 1.4921, 0.9039
04-May-2019 21:02:20.050,-1.1725, 1.4935, 0.8905
04-May-2019 21:02:20.147,-1.1573, 1.4969, 0.8869
04-May-2019 21:02:20.245,-1.1150, 1.5029, 0.8660
04-May-2019 21:02:20.342,-0.9226, 1.5051, 0.7224
04-May-2019 21:02:20.440,-0.7543, 1.5007, 0.6203
04-May-2019 21:02:20.537,-0.3717, 1.4937, 0.3147
04-May-2019 21:02:20.634,-0.0610, 1.4747, 0.0905
04-May-2019 21:02:20.732, 0.0462, 1.4627, 0.0959
04-May-2019 21:02:20.829, 0.1297, 1.4529, 0.1241
04-May-2019 21:02:20.926, 0.1960, 1.4500, 0.1687
04-May-2019 21:02:21.024, 0.2966, 1.4369, 0.1582
04-May-2019 21:02:21.121, 0.4849, 1.4292, 0.0776
04-May-2019 21:02:21.219, 0.5965, 1.4315, 0.0724
04-May-2019 21:02:21.316, 0.7245, 1.4376, 0.0385
