Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),Roll(rads),Pitch(rads),Yaw(rads)
04-May-2019 21:34:10.860, 0.0127,-1.0206, 0.0334, 0.0080,-0.0033, 0.0242, 2.6877, 1.5517,-0.9927
04-May-2019 21:34:10.879, 0.0074,-1.0047, 0.0086, 0.0028,-0.0191, 0.0013, 2.6722, 1.5552,-0.9781
04-May-2019 21:34:10.899, 0.0082,-0.9977, 0.0106, 0.0026, 0.0036,-0.0076, 2.6568, 1.5580,-0.9635
04-May-2019 21:34:10.919, 0.0081,-1.0039, 0.0049, 0.0029,-0.0022,-0.0027, 2.6494, 1.5603,-0.9567
04-May-2019 21:34:10.938, 0.0012,-0.9975, 0.0036, 0.0033, 0.0053,-0.0075, 2.6555, 1.5618,-0.9631
04-May-2019 21:34:10.957, 0.0004,-0.9984,-0.0058, 0.0044, 0.0009,-0.0228, 2.6626, 1.5634,-0.9706
04-May-2019 21:34:10.977, 0.0038,-0.9852,-0.0001,-0.0012, 0.0102,-0.0118, 2.6646, 1.5643,-0.9729
04-May-2019 21:34:10.996, 0.0053,-1.0050, 0.0019,-0.0035, 0.0027,-0.0018, 2.6508, 1.5646,-0.9592
04-May-2019 21:34:11.016, 0.0037,-0.9833, 0.0036, 0.0029, 0.0048,-0.0029, 2.6197, 1.5644,-0.9281
04-May-2019 21:34:11.035, 0.0046,-1.0149, 0.0018,-0.0018,-0.0054,-0.0029, 2.5564, 1.5636,-0.8644
04-May-2019 21:34:11.055, 0.0096,-0.9979, 0.0138, 0.0027,-0.0047,-0.0028, 2.4808, 1.5622,-0.7882
04-May-2019 21:34:11.074, 0.0165,-1.0099, 0.0299, 0.0087,-0.0078, 0.0130, 2.4329, 1.5604,-0.7396
04-May-2019 21:34:11.093, 0.0132,-1.0046, 0.0201, 0.0070,-0.0086, 0.0176, 2.3993, 1.5592,-0.7053
04-May-2019 21:34:11.113, 0.0115,-1.0157, 0.0188, 0.0057,-0.0139, 0.0070, 2.3835, 1.5588,-0.6892
04-May-2019 21:34:11.133, 0.0098,-0.9938, 0.0196, 0.0019,-0.0047, 0.0128, 2.3680, 1.5588,-0.6735
04-May-2019 21:34:11.152, 0.0097,-1.0028, 0.0192, 0.0016, 0.0063, 0.0128, 2.3542, 1.5595,-0.6599
04-May-2019 21:34:11.171, 0.0098,-1.0016, 0.0058, 0.0013,-0.0107, 0.0058, 2.3315, 1.5606,-0.6376
04-May-2019 21:34:11.191, 0.0094,-1.0137, 0.0019, 0.0014, 0.0064, 0.0098, 2.2892, 1.5619,-0.5958
04-May-2019 21:34:11.210, 0.0055,-0.9772,-0.0121, 0.0019,-0.0088,-0.0101, 2.2365, 1.5631,-0.5434
04-May-2019 21:34:11.230, 0.0059,-1.0038,-0.0082,-0.0021, 0.0293,-0.0127, 2.2412, 1.5632,-0.5482
04-May-2019 21:34:11.249, 0.0113,-1.0149,-0.0103, 0.0028,-0.0237,-0.0121, 2.2672, 1.5624,-0.5740
04-May-2019 21:34:11.269, 0.0113,-0.9924, 0.0160, 0.0023, 0.0140,-0.0025, 2.3145, 1.5611,-0.6209
04-May-2019 21:34:11.288, 0.0132,-1.0054, 0.0186, 0.0029,-0.0018, 0.0156, 2.3409, 1.5599,-0.6470
04-May-2019 21:34:11.308, 0.0108,-1.0077, 0.0213, 0.0025, 0.0004, 0.0114, 2.3598, 1.5586,-0.6652
04-May-2019 21:34:11.327, 0.0091,-1.0021, 0.0200, 0.0007,-0.0136, 0.0097, 2.3545, 1.5579,-0.6596
04-May-2019 21:34:11.347, 0.0096,-0.9920, 0.0204, 0.0001, 0.0105, 0.0124, 2.3330, 1.5579,-0.6378
04-May-2019 21:34:11.366, 0.0112,-1.0132, 0.0127, 0.0000,-0.0117, 0.0069, 2.3124, 1.5581,-0.6172
04-May-2019 21:34:11.386, 0.0076,-1.0020, 0.0107, 0.0016, 0.0021, 0.0122, 2.3016, 1.5586,-0.6064
04-May-2019 21:34:11.405, 0.0092,-1.0074, 0.0210, 0.0003,-0.0105, 0.0115, 2.2771, 1.5593,-0.5821
04-May-2019 21:34:11.425, 0.0064,-0.9897, 0.0135, 0.0031, 0.0087, 0.0110, 2.2370, 1.5604,-0.5427
04-May-2019 21:34:11.444, 0.0084,-1.0139, 0.0090, 0.0012,-0.0037, 0.0044, 2.1832, 1.5613,-0.4899
04-May-2019 21:34:11.463, 0.0099,-0.9944, 0.0045, 0.0010,-0.0078, 0.0009, 2.1285, 1.5620,-0.4360
04-May-2019 21:34:11.483, 0.0129,-1.0059, 0.0154, 0.0043, 0.0032, 0.0105, 2.0423, 1.5629,-0.3505
04-May-2019 21:34:11.502, 0.0099,-1.0022, 0.0101, 0.0038,-0.0118, 0.0067, 1.9250, 1.5637,-0.2338
04-May-2019 21:34:11.522, 0.0083,-1.0032, 0.0075, 0.0027, 0.0010, 0.0054, 1.7821, 1.5644,-0.0911
04-May-2019 21:34:11.541, 0.0096,-1.0034, 0.0173, 0.0029,-0.0023, 0.0094, 1.5848, 1.5648, 0.1061
04-May-2019 21:34:11.561, 0.0100,-0.9983, 0.0238, 0.0041, 0.0009, 0.0219, 1.2970, 1.5648, 0.3939
04-May-2019 21:34:11.580, 0.0096,-1.0071, 0.0168, 0.0044,-0.0048, 0.0229, 0.9555, 1.5638, 0.7355
04-May-2019 21:34:11.600, 0.0091,-0.9975, 0.0100, 0.0035,-0.0060, 0.0148, 0.6711, 1.5615, 1.0199
04-May-2019 21:34:11.619, 0.0091,-0.9935, 0.0148, 0.0031, 0.0086, 0.0238, 0.4685, 1.5580, 1.2225
04-May-2019 21:34:11.639, 0.0089,-0.9991, 0.0067, 0.0035, 0.0045, 0.0309, 0.3231, 1.5529, 1.3679
04-May-2019 21:34:11.658, 0.0081,-0.9963,-0.0030, 0.0026, 0.0013, 0.0239, 0.2424, 1.5481, 1.4486
04-May-2019 21:34:11.677, 0.0025,-0.9955,-0.0118,-0.0005, 0.0060, 0.0279, 0.1665, 1.5401, 1.5241
04-May-2019 21:34:11.697,-0.0096,-0.9893,-0.0434,-0.0146, 0.0122, 0.0162, 0.1259, 1.5309, 1.5645
04-May-2019 21:34:11.716,-0.0025,-0.9954,-0.0425,-0.0199, 0.0089,-0.0047, 0.1192, 1.5217, 1.5714
04-May-2019 21:34:11.736, 0.0103,-1.0050, 0.0125, 0.0038,-0.0066, 0.0398, 0.1247, 1.5121, 1.5667
04-May-2019 21:34:11.755, 0.0300,-1.0023,-0.0353, 0.0150,-0.0118, 0.1566, 0.1201, 1.5003, 1.5756
04-May-2019 21:34:11.775, 0.0069,-0.9883,-0.0095, 0.0039,-0.0015, 0.0850, 0.1034, 1.4849, 1.5974
04-May-2019 21:34:11.794, 0.0298,-1.0012,-0.0778, 0.0079,-0.0017, 0.0649, 0.0941, 1.4667, 1.6138
04-May-2019 21:34:11.814, 0.0171,-0.9915,-0.1215, 0.0127,-0.0032, 0.0285, 0.0862, 1.4518, 1.6268
04-May-2019 21:34:11.833, 0.0063,-0.9787,-0.1726, 0.0005, 0.0043,-0.0182, 0.0760, 1.4315, 1.6421
04-May-2019 21:34:11.854, 0.0062,-0.9802,-0.1564,-0.0050, 0.0063, 0.0067, 0.0683, 1.4066, 1.6511
04-May-2019 21:34:11.872, 0.0070,-0.9720,-0.1703,-0.0071, 0.0133, 0.0201, 0.0679, 1.3916, 1.6511
04-May-2019 21:34:11.891, 0.0137,-0.9623,-0.1813,-0.0084, 0.0093, 0.0170, 0.0704, 1.3711, 1.6472
04-May-2019 21:34:11.911, 0.0222,-0.9706,-0.1752,-0.0004, 0.0279,-0.0003, 0.0689, 1.3496, 1.6436
04-May-2019 21:34:11.931, 0.0200,-0.9444,-0.2159, 0.0153,-0.0273, 0.0593, 0.0622, 1.3255, 1.6454
04-May-2019 21:34:11.950, 0.0333,-0.9700,-0.2231, 0.0025, 0.0298, 0.0314, 0.0522, 1.2996, 1.6504
04-May-2019 21:34:11.969, 0.0043,-0.9577,-0.3091,-0.0043,-0.0190, 0.0300, 0.0426, 1.2733, 1.6572
04-May-2019 21:34:11.989, 0.0059,-0.9358,-0.3159,-0.0093, 0.0198,-0.0019, 0.0366, 1.2476, 1.6618
04-May-2019 21:34:12.008, 0.0184,-0.9441,-0.2979,-0.0055,-0.0094, 0.0019, 0.0334, 1.2287, 1.6636
04-May-2019 21:34:12.028, 0.0086,-0.9243,-0.3047, 0.0032, 0.0072, 0.0507, 0.0304, 1.2033, 1.6666
04-May-2019 21:34:12.048, 0.0145,-0.9168,-0.3680,-0.0013,-0.0019, 0.0461, 0.0282, 1.1763, 1.6700
04-May-2019 21:34:12.067, 0.0159,-0.8988,-0.3855, 0.0016,-0.0037, 0.0385, 0.0263, 1.1480, 1.6734
04-May-2019 21:34:12.086, 0.0076,-0.8940,-0.4188, 0.0016, 0.0047, 0.0154, 0.0250, 1.1192, 1.6769
04-May-2019 21:34:12.106, 0.0098,-0.8661,-0.4679,-0.0005, 0.0102, 0.0153, 0.0249, 1.0902, 1.6798
04-May-2019 21:34:12.125, 0.0095,-0.8590,-0.4773,-0.0044, 0.0033, 0.0017, 0.0247, 1.0611, 1.6819
04-May-2019 21:34:12.144, 0.0215,-0.8359,-0.4798,-0.0015, 0.0126, 0.0430, 0.0245, 1.0310, 1.6834
04-May-2019 21:34:12.165, 0.0128,-0.8297,-0.5284, 0.0087, 0.0157, 0.0394, 0.0242, 0.9997, 1.6851
04-May-2019 21:34:12.185, 0.0121,-0.7892,-0.5465, 0.0006, 0.0025, 0.0120, 0.0240, 0.9677, 1.6869
04-May-2019 21:34:12.203, 0.0108,-0.7804,-0.5723, 0.0002, 0.0244, 0.0295, 0.0235, 0.9431, 1.6883
04-May-2019 21:34:12.223, 0.0152,-0.7657,-0.5937,-0.0003, 0.0207, 0.0296, 0.0224, 0.9092, 1.6904
04-May-2019 21:34:12.242, 0.0108,-0.7446,-0.6279,-0.0001, 0.0096, 0.0371, 0.0211, 0.8744, 1.6931
04-May-2019 21:34:12.262, 0.0052,-0.7224,-0.6946,-0.0067, 0.0048, 0.0056, 0.0204, 0.8392, 1.6961
04-May-2019 21:34:12.281, 0.0052,-0.7070,-0.7184,-0.0112, 0.0167,-0.0170, 0.0201, 0.8049, 1.6983
04-May-2019 21:34:12.300, 0.0101,-0.6852,-0.6950,-0.0080,-0.0043, 0.0047, 0.0197, 0.7714, 1.6993
04-May-2019 21:34:12.320, 0.0061,-0.6647,-0.7260,-0.0045, 0.0013, 0.0380, 0.0196, 0.7373, 1.7000
04-May-2019 21:34:12.339, 0.0242,-0.6486,-0.7954,-0.0100, 0.0019,-0.0016, 0.0202, 0.7026, 1.7002
04-May-2019 21:34:12.360, 0.0157,-0.6124,-0.7916,-0.0029,-0.0069,-0.0092, 0.0202, 0.6687, 1.7006
04-May-2019 21:34:12.378, 0.0071,-0.5967,-0.8008, 0.0180,-0.0191,-0.0063, 0.0199, 0.6438, 1.7010
04-May-2019 21:34:12.398, 0.0200,-0.5625,-0.8337,-0.0023, 0.0008, 0.0010, 0.0194, 0.6105, 1.7018
04-May-2019 21:34:12.417, 0.0157,-0.5249,-0.8437,-0.0014, 0.0022, 0.0062, 0.0189, 0.5776, 1.7026
04-May-2019 21:34:12.437, 0.0047,-0.4866,-0.9002, 0.0030, 0.0065,-0.0176, 0.0183, 0.5452, 1.7039
04-May-2019 21:34:12.456, 0.0073,-0.4674,-0.9050,-0.0114, 0.0208,-0.0359, 0.0179, 0.5151, 1.7048
04-May-2019 21:34:12.476, 0.0066,-0.4435,-0.8830,-0.0080, 0.0095,-0.0144, 0.0175, 0.4869, 1.7053
04-May-2019 21:34:12.495, 0.0084,-0.4249,-0.9014,-0.0068, 0.0070, 0.0142, 0.0172, 0.4594, 1.7057
04-May-2019 21:34:12.515, 0.0105,-0.4045,-0.9428,-0.0073, 0.0078,-0.0174, 0.0170, 0.4325, 1.7062
04-May-2019 21:34:12.535, 0.0166,-0.3891,-0.9500,-0.0029, 0.0028,-0.0391, 0.0168, 0.4078, 1.7067
