Timestamp,Roll(rads),Pitch(rads),Yaw(rads)
04-May-2019 21:21:29.848, 0.4294, 1.2273, 2.2381
04-May-2019 21:21:29.946, 0.4711, 1.2646, 2.2267
04-May-2019 21:21:30.043, 0.5210, 1.3197, 2.2159
04-May-2019 21:21:30.140, 0.6071, 1.4271, 2.1412
04-May-2019 21:21:30.238, 2.0019, 1.4687, 0.7497
04-May-2019 21:21:30.335, 2.5925, 1.4320, 0.2423
04-May-2019 21:21:30.432, 2.6864, 1.4248, 0.2362
04-May-2019 21:21:30.530, 2.6821, 1.4349, 0.2934
04-May-2019 21:21:30.628, 2.8644, 1.4309, 0.1975
04-May-2019 21:21:30.725, 3.0133, 1.4278, 0.1115
04-May-2019 21:21:30.822, 3.0196, 1.4192, 0.1633
04-May-2019 21:21:30.919, 2.8602, 1.4059, 0.3694
04-May-2019 21:21:31.017, 2.6978, 1.3854, 0.5625
04-May-2019 21:21:31.114, 2.5526, 1.3677, 0.7166
04-May-2019 21:21:31.211, 2.6527, 1.3502, 0.6464
04-May-2019 21:21:31.309, 2.7303, 1.3265, 0.6339
04-May-2019 21:21:31.406, 2.7487, 1.3113, 0.6597
04-May-2019 21:21:31.503, 2.7203, 1.3041, 0.7030
04-May-2019 21:21:31.600, 2.7161, 1.3173, 0.6884
04-May-2019 21:21:31.697, 2.7016, 1.3512, 0.6566
04-May-2019 21:21:31.795, 2.6420, 1.3974, 0.6715
04-May-2019 21:21:31.892, 2.5975, 1.4576, 0.6296
04-May-2019 21:21:31.989, 2.7402, 1.5102, 0.4068
04-May-2019 21:21:32.087,-2.9674, 1.5237,-0.2627
04-May-2019 21:21:32.184,-2.2915, 1.5172,-0.9760
04-May-2019 21:21:32.281,-2.0096, 1.5040,-1.2717
04-May-2019 21:21:32.378,-1.9524, 1.5037,-1.3362
04-May-2019 21:21:32.475,-1.8059, 1.4999,-1.4749
04-May-2019 21:21:32.573,-1.7812, 1.4985,-1.5108
04-May-2019 21:21:32.670,-1.6940, 1.4900,-1.6047
04-May-2019 21:21:32.768,-1.6513, 1.4836,-1.6533
04-May-2019 21:21:32.865,-1.5861, 1.4782,-1.7141
04-May-2019 21:21:32.962,-1.5466, 1.4738,-1.7442
04-May-2019 21:21:33.060,-1.5164, 1.4750,-1.7652
04-May-2019 21:21:33.157,-1.5253, 1.4768,-1.7563
04-May-2019 21:21:33.254,-1.4650, 1.4745,-1.8106
04-May-2019 21:21:33.352,-1.3917, 1.4680,-1.8944
04-May-2019 21:21:33.449,-1.3192, 1.4589,-1.9675
04-May-2019 21:21:33.546,-1.1964, 1.4437,-2.0699
04-May-2019 21:21:33.644,-1.0193, 1.4137,-2.2030
04-May-2019 21:21:33.742,-0.9817, 1.3925,-2.2251
04-May-2019 21:21:33.838,-0.9761, 1.3851,-2.2273
04-May-2019 21:21:33.935,-0.9921, 1.3809,-2.2072
04-May-2019 21:21:34.033,-1.0200, 1.3776,-2.1758
04-May-2019 21:21:34.131,-1.0381, 1.3844,-2.1660
04-May-2019 21:21:34.228,-1.0388, 1.3940,-2.1714
04-May-2019 21:21:34.325,-1.0318, 1.3979,-2.1779
04-May-2019 21:21:34.422,-1.0319, 1.4002,-2.1809
04-May-2019 21:21:34.520,-1.0441, 1.4076,-2.1782
04-May-2019 21:21:34.617,-1.0596, 1.4174,-2.1823
04-May-2019 21:21:34.714,-1.0251, 1.4274,-2.2286
04-May-2019 21:21:34.811,-0.9859, 1.4359,-2.2615
04-May-2019 21:21:34.909,-0.9603, 1.4411,-2.2864
04-May-2019 21:21:35.006,-0.9492, 1.4469,-2.3093
04-May-2019 21:21:35.103,-1.0121, 1.4538,-2.2528
04-May-2019 21:21:35.201,-1.1558, 1.4811,-2.1360
04-May-2019 21:21:35.298,-1.3299, 1.4933,-1.9802
04-May-2019 21:21:35.396,-1.3610, 1.5089,-1.9620
04-May-2019 21:21:35.493,-1.3191, 1.5222,-2.0075
04-May-2019 21:21:35.590,-1.3858, 1.5262,-1.9368
04-May-2019 21:21:35.687,-1.4500, 1.5215,-1.8631
04-May-2019 21:21:35.785,-1.4617, 1.5153,-1.8456
04-May-2019 21:21:35.882,-1.4783, 1.5324,-1.8295
04-May-2019 21:21:35.979,-1.5615, 1.5545,-1.7610
04-May-2019 21:21:36.077,-2.6809, 1.5588,-0.6470
04-May-2019 21:21:36.174,-2.8939, 1.5404,-0.4331
04-May-2019 21:21:36.272,-2.7461, 1.5265,-0.5759
04-May-2019 21:21:36.369,-2.6964, 1.5130,-0.6432
04-May-2019 21:21:36.466,-2.7472, 1.4999,-0.5958
04-May-2019 21:21:36.563,-2.7603, 1.4852,-0.5810
04-May-2019 21:21:36.661,-2.8005, 1.4681,-0.5295
04-May-2019 21:21:36.758,-2.8726, 1.4616,-0.4277
04-May-2019 21:21:36.855,-2.9665, 1.4639,-0.2813
04-May-2019 21:21:36.952,-3.0185, 1.4549,-0.1977
04-May-2019 21:21:37.050,-3.1038, 1.4327,-0.0967
04-May-2019 21:21:37.147,-3.0103, 1.4270,-0.1706
04-May-2019 21:21:37.245,-2.7323, 1.4271,-0.4331
04-May-2019 21:21:37.342,-2.4180, 1.4620,-0.7550
04-May-2019 21:21:37.439,-2.1051, 1.4721,-1.0615
04-May-2019 21:21:37.536,-2.2453, 1.4627,-0.9011
04-May-2019 21:21:37.634,-1.9232, 1.3967,-1.2053
04-May-2019 21:21:37.731,-1.7967, 1.3649,-1.3107
04-May-2019 21:21:37.828,-1.9321, 1.3651,-1.1900
04-May-2019 21:21:37.926,-1.9626, 1.3956,-1.1578
04-May-2019 21:21:38.023,-1.7010, 1.4365,-1.4109
04-May-2019 21:21:38.121,-1.9423, 1.4317,-1.1743
04-May-2019 21:21:38.218,-2.2430, 1.4451,-0.8628
04-May-2019 21:21:38.315,-2.2653, 1.4432,-0.8253
04-May-2019 21:21:38.412,-2.3771, 1.4268,-0.7440
04-May-2019 21:21:38.510,-2.3498, 1.4349,-0.8108
04-May-2019 21:21:38.607,-2.2085, 1.4561,-0.9954
04-May-2019 21:21:38.704,-2.0694, 1.4885,-1.1553
04-May-2019 21:21:38.802,-2.3680, 1.5415,-0.8924
04-May-2019 21:21:38.899, 1.8502, 1.5374, 1.1666
04-May-2019 21:21:38.996, 2.0512, 1.4914, 0.9726
04-May-2019 21:21:39.094, 2.0345, 1.4793, 0.9737
04-May-2019 21:21:39.191, 0.3364, 1.5430, 2.6345
04-May-2019 21:21:39.288,-0.2042, 1.4995,-3.0840
04-May-2019 21:21:39.386,-0.6406, 1.5188,-2.6419
04-May-2019 21:21:39.483,-2.4949, 1.5197,-0.7939
04-May-2019 21:21:39.580,-2.5662, 1.5009,-0.7643
04-May-2019 21:21:39.678,-2.7329, 1.4810,-0.6117
04-May-2019 21:21:39.775,-2.6912, 1.4571,-0.6597
04-May-2019 21:21:39.872,-2.4677, 1.4614,-0.8934
04-May-2019 21:21:39.969,-2.4542, 1.4524,-0.9041
04-May-2019 21:21:40.066,-2.3420, 1.4563,-1.0219
04-May-2019 21:21:40.164,-2.4080, 1.4436,-0.9582
04-May-2019 21:21:40.262,-2.3525, 1.4580,-1.0206
04-May-2019 21:21:40.359,-2.3105, 1.4618,-1.0526
04-May-2019 21:21:40.456,-2.2618, 1.4654,-1.0885
04-May-2019 21:21:40.554,-2.2360, 1.4713,-1.1042
04-May-2019 21:21:40.651,-2.2352, 1.4778,-1.0968
04-May-2019 21:21:40.748,-2.2082, 1.4847,-1.1137
04-May-2019 21:21:40.846,-2.1936, 1.4878,-1.1171
04-May-2019 21:21:40.943,-2.2647, 1.4847,-1.0444
04-May-2019 21:21:41.040,-2.2673, 1.4801,-1.0486
04-May-2019 21:21:41.137,-2.1841, 1.4779,-1.1405
04-May-2019 21:21:41.235,-2.0201, 1.4770,-1.3050
04-May-2019 21:21:41.332,-1.8567, 1.4763,-1.4667
04-May-2019 21:21:41.430,-1.7854, 1.4745,-1.5356
04-May-2019 21:21:41.526,-1.8141, 1.4711,-1.5070
04-May-2019 21:21:41.624,-1.8322, 1.4677,-1.4884
04-May-2019 21:21:41.721,-1.7842, 1.4658,-1.5337
04-May-2019 21:21:41.819,-1.6777, 1.4662,-1.6392
04-May-2019 21:21:41.916,-1.6043, 1.4643,-1.7117
04-May-2019 21:21:42.013,-1.5254, 1.4618,-1.7919
04-May-2019 21:21:42.111,-1.5511, 1.4590,-1.7671
04-May-2019 21:21:42.208,-1.5500, 1.4566,-1.7626
04-May-2019 21:21:42.306,-1.5667, 1.4560,-1.7342
04-May-2019 21:21:42.402,-1.5562, 1.4584,-1.7352
04-May-2019 21:21:42.500,-1.5527, 1.4597,-1.7271
04-May-2019 21:21:42.597,-1.6030, 1.4584,-1.6642
04-May-2019 21:21:42.695,-1.6778, 1.4582,-1.5795
04-May-2019 21:21:42.792,-1.7084, 1.4602,-1.5457
04-May-2019 21:21:42.890,-1.7387, 1.4623,-1.5174
04-May-2019 21:21:42.986,-1.7625, 1.4656,-1.4974
04-May-2019 21:21:43.084,-1.7833, 1.4668,-1.4827
04-May-2019 21:21:43.181,-1.7600, 1.4690,-1.5135
04-May-2019 21:21:43.279,-1.7485, 1.4672,-1.5308
04-May-2019 21:21:43.376,-1.7475, 1.4646,-1.5383
04-May-2019 21:21:43.473,-1.7612, 1.4638,-1.5313
04-May-2019 21:21:43.571,-1.7569, 1.4651,-1.5376
04-May-2019 21:21:43.668,-1.7519, 1.4663,-1.5405
04-May-2019 21:21:43.765,-1.7471, 1.4680,-1.5424
04-May-2019 21:21:43.863,-1.7843, 1.4693,-1.5038
04-May-2019 21:21:43.960,-1.8009, 1.4709,-1.4851
04-May-2019 21:21:44.057,-1.7888, 1.4732,-1.4998
04-May-2019 21:21:44.155,-1.5986, 1.4767,-1.6856
04-May-2019 21:21:44.252,-1.4198, 1.4707,-1.8656
04-May-2019 21:21:44.350,-1.2166, 1.4598,-2.0782
04-May-2019 21:21:44.446,-0.9635, 1.4422,-2.3244
04-May-2019 21:21:44.544,-0.6434, 1.4355,-2.5953
04-May-2019 21:21:44.641,-0.2704, 1.3752,-2.9287
04-May-2019 21:21:44.738, 0.0685, 1.2758, 3.0366
04-May-2019 21:21:44.835, 0.0195, 1.1260, 3.0646
04-May-2019 21:21:44.933,-0.0798, 0.9180,-3.1269
04-May-2019 21:21:45.030,-0.1552, 0.9353,-3.0283
04-May-2019 21:21:45.127,-0.2057, 1.0502,-3.1276
04-May-2019 21:21:45.225,-0.3460, 1.3248,-2.8153
04-May-2019 21:21:45.322, 0.0406, 1.0569,-3.1079
04-May-2019 21:21:45.419, 0.4835, 1.3689, 2.8276
04-May-2019 21:21:45.517, 0.1741, 1.4302, 3.1220
04-May-2019 21:21:45.615,-0.2553, 1.2696,-2.7501
04-May-2019 21:21:45.712,-0.6058, 1.3286,-2.5954
04-May-2019 21:21:45.809,-1.5258, 1.4604,-1.7208
04-May-2019 21:21:45.906,-0.2235, 1.3629,-2.9470
04-May-2019 21:21:46.004,-0.2564, 1.4881,-2.7584
04-May-2019 21:21:46.101,-2.5520, 1.5520,-0.4785
04-May-2019 21:21:46.199,-1.2242, 1.4851,-1.9048
04-May-2019 21:21:46.295,-0.9920, 1.2910,-2.2029
04-May-2019 21:21:46.393,-1.1853, 1.3826,-2.1535
04-May-2019 21:21:46.490,-2.2253, 1.3966,-1.0440
04-May-2019 21:21:46.588,-0.4058, 1.3650,-2.6962
04-May-2019 21:21:46.686,-0.5757, 1.5288,-2.4210
04-May-2019 21:21:46.782,-0.6225, 1.5441,-2.3915
04-May-2019 21:21:46.880,-0.5006, 1.3446,-2.5342
04-May-2019 21:21:46.976,-1.0972, 1.3910,-2.1019
04-May-2019 21:21:47.074,-1.1636, 1.4277,-2.1467
04-May-2019 21:21:47.171,-2.1032, 1.4611,-1.2300
04-May-2019 21:21:47.269,-0.2545, 1.2419,-2.8351
04-May-2019 21:21:47.366,-0.4274, 1.5197,-2.5485
04-May-2019 21:21:47.464, 0.0490, 1.5604,-3.0376
04-May-2019 21:21:47.561,-0.4929, 1.3207,-2.6000
04-May-2019 21:21:47.658,-0.9160, 1.4064,-2.3024
04-May-2019 21:21:47.755,-1.8123, 1.4783,-1.5330
04-May-2019 21:21:47.853,-2.0854, 1.5103,-1.2075
04-May-2019 21:21:47.950,-0.3637, 1.3720,-2.7431
04-May-2019 21:21:48.047,-0.2233, 1.5067,-2.8018
04-May-2019 21:21:48.145,-1.2374, 1.5259,-1.8622
04-May-2019 21:21:48.242,-0.9592, 1.3872,-2.1757
04-May-2019 21:21:48.339,-1.1327, 1.4235,-2.1239
04-May-2019 21:21:48.436,-1.8153, 1.4409,-1.5180
04-May-2019 21:21:48.534,-0.7680, 1.4478,-2.4714
04-May-2019 21:21:48.631,-0.6231, 1.3884,-2.4740
04-May-2019 21:21:48.729,-0.6439, 1.4756,-2.3803
04-May-2019 21:21:48.826,-1.8458, 1.5001,-1.2496
04-May-2019 21:21:48.923,-0.9087, 1.3741,-2.1943
04-May-2019 21:21:49.020,-0.9687, 1.4185,-2.2474
04-May-2019 21:21:49.118,-1.4164, 1.4598,-1.8363
04-May-2019 21:21:49.215,-0.4856, 1.3964,-2.6822
04-May-2019 21:21:49.312,-0.6100, 1.4239,-2.4668
04-May-2019 21:21:49.410,-0.9495, 1.4886,-2.1057
04-May-2019 21:21:49.507,-1.6992, 1.4834,-1.4323
04-May-2019 21:21:49.604,-1.0664, 1.3733,-2.0691
04-May-2019 21:21:49.702,-0.8643, 1.4084,-2.4107
04-May-2019 21:21:49.799,-1.4033, 1.4709,-1.9045
04-May-2019 21:21:49.896,-0.9170, 1.4635,-2.2977
04-May-2019 21:21:49.994,-0.9456, 1.4424,-2.1662
04-May-2019 21:21:50.090,-1.5519, 1.4786,-1.5102
04-May-2019 21:21:50.188,-2.2164, 1.4448,-0.8982
04-May-2019 21:21:50.285,-1.2822, 1.3808,-1.8630
04-May-2019 21:21:50.382,-1.5113, 1.4061,-1.7275
04-May-2019 21:21:50.480,-2.0285, 1.3941,-1.2507
04-May-2019 21:21:50.577,-2.3034, 1.4245,-0.9408
04-May-2019 21:21:50.674,-1.5902, 1.4379,-1.5378
04-May-2019 21:21:50.772,-1.7480, 1.4568,-1.3044
04-May-2019 21:21:50.870,-2.3109, 1.4292,-0.7433
04-May-2019 21:21:50.967,-2.3558, 1.4035,-0.7408
04-May-2019 21:21:51.064,-1.5643, 1.4320,-1.5457
04-May-2019 21:21:51.161,-1.1543, 1.4897,-1.9777
04-May-2019 21:21:51.258,-1.2805, 1.5320,-1.8687
04-May-2019 21:21:51.356, 0.9290, 1.5147, 2.2596
04-May-2019 21:21:51.453, 1.1278, 1.4451, 2.1536
04-May-2019 21:21:51.551, 0.5376, 1.3707, 2.7873
04-May-2019 21:21:51.648, 0.2487, 1.1669, 3.0885
04-May-2019 21:21:51.745, 0.1665, 1.0013,-3.1390
04-May-2019 21:21:51.842, 0.0948, 0.8795,-3.1047
04-May-2019 21:21:51.940, 0.1240, 0.7545, 3.1380
04-May-2019 21:21:52.037, 0.1227, 0.5786,-3.1361
04-May-2019 21:21:52.135, 0.0125, 0.3168,-3.1142
04-May-2019 21:21:52.232, 0.0989, 0.2870,-3.1332
04-May-2019 21:21:52.329, 0.2123, 0.4215, 3.1270
04-May-2019 21:21:52.426, 0.2087, 0.4561, 3.1332
04-May-2019 21:21:52.524, 0.2033, 0.4741, 3.1307
04-May-2019 21:21:52.621, 0.1954, 0.4742, 3.1332
